iter	Passed	Remaining
0	148	148272
1	151	75489
2	155	51704
3	159	39800
4	161	32096
5	162	26876
6	163	23151
7	164	20378
8	165	18189
9	165	16420
10	166	14968
11	167	13758
12	167	12734
13	168	11859
14	169	11099
15	169	10431
16	172	9963
17	172	9437
18	173	8970
19	174	8541
20	174	8151
21	175	7797
22	175	7473
23	176	7175
24	176	6902
25	177	6649
26	178	6415
27	178	6204
28	179	6017
29	180	5827
30	180	5650
31	181	5484
32	181	5329
33	182	5191
34	183	5055
35	183	4924
36	184	4800
37	185	4691
38	186	4585
39	186	4481
40	187	4389
41	188	4296
42	189	4207
43	189	4124
44	190	4045
45	191	3967
46	191	3890
47	192	3816
48	192	3745
49	193	3676
50	194	3610
51	194	3547
52	195	3486
53	195	3427
54	196	3370
55	196	3315
56	197	3262
57	197	3211
58	198	3162
59	198	3115
60	199	3072
61	200	3029
62	200	2986
63	201	2944
64	201	2903
65	202	2864
66	202	2825
67	203	2788
68	204	2752
69	204	2717
70	205	2682
71	205	2649
72	206	2616
73	206	2585
74	207	2554
75	207	2524
76	208	2494
77	208	2466
78	209	2438
79	209	2411
80	210	2384
81	210	2358
82	210	2330
83	211	2306
84	211	2282
85	212	2258
86	213	2235
87	213	2213
88	214	2195
89	215	2176
90	215	2155
91	216	2134
92	216	2114
93	217	2094
94	217	2076
95	218	2057
96	219	2039
97	219	2021
98	220	2003
99	220	1985
100	221	1968
101	221	1951
102	222	1934
103	222	1918
104	223	1902
105	223	1886
106	224	1871
107	224	1855
108	225	1840
109	225	1826
110	226	1812
111	226	1797
112	227	1784
113	227	1770
114	228	1756
115	228	1744
116	229	1731
117	230	1720
118	230	1707
119	231	1695
120	231	1683
121	232	1671
122	232	1659
123	233	1648
124	233	1636
125	234	1625
126	234	1613
127	235	1602
128	235	1591
129	236	1581
130	236	1570
131	237	1560
132	237	1550
133	238	1540
134	238	1530
135	239	1520
136	239	1510
137	240	1501
138	240	1492
139	241	1482
140	241	1473
141	242	1463
142	242	1454
143	243	1445
144	243	1437
145	244	1431
146	245	1423
147	245	1415
148	246	1406
149	246	1398
150	247	1390
151	247	1383
152	248	1375
153	248	1367
154	249	1359
155	249	1352
156	250	1344
157	250	1337
158	251	1330
159	251	1322
160	252	1314
161	252	1307
162	253	1300
163	253	1293
164	254	1286
165	254	1280
166	255	1273
167	255	1266
168	256	1260
169	256	1254
170	257	1247
171	257	1241
172	258	1235
173	259	1229
174	259	1225
175	260	1219
176	261	1213
177	261	1207
178	262	1201
179	262	1195
180	263	1190
181	263	1184
182	264	1178
183	264	1173
184	265	1167
185	265	1162
186	266	1156
187	266	1151
188	267	1146
189	267	1140
190	268	1135
191	268	1130
192	269	1125
193	269	1120
194	270	1115
195	270	1110
196	271	1105
197	271	1100
198	272	1095
199	272	1090
200	273	1086
201	273	1081
